Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.785447296287067,0.7764005949429846,0.7925101214574899,0.7843726521412472
Naive Bayes,0.6421629703463743,0.5904219691895513,0.8922064777327935,0.7106005642885934
Random Forest,0.8507351108896087,0.8264580369843528,0.882085020242915,0.8533659730722155
AdaBoost,0.8228258160976826,0.810505645557192,0.8355263157894737,0.8228258160976826
